msp_name	SAMN37671264	SAMN37671265	SAMN37671267	SAMN37671269	SAMN37671270	SAMN37671271	SAMN37671273	SAMN37671275	SAMN37671276	SAMN37671277	SAMN37671278	SAMN37671279	SAMN37671280	SAMN37671281	SAMN37671282	SAMN37671283	SAMN37671284	SAMN37671285	SAMN37671286	SAMN37671287	SAMN37671288	SAMN37671289	SAMN37671290	SAMN37671291	SAMN37671292	SAMN37671293	SAMN37671294	SAMN37671295	SAMN37671296	SAMN37671297	SAMN37671298	SAMN37671299	SAMN37671300	SAMN37671305	SAMN37671307	SAMN37671369	SAMN37671395	SAMN37671438	SAMN37671479	SAMN37671488	SAMN37671489	SAMN37671490	SAMN37671491	SAMN37671492	SAMN37671493	SAMN37671495	SAMN37671496	SAMN37671497	SAMN37671498	SAMN37671499	SAMN37671500	SAMN37671503	SAMN37671504	SAMN37671505	SAMN37671506	SAMN37671507	SAMN37671509	SAMN37671510	SAMN37671511	SAMN37671512	SAMN37671513	SAMN37671516	SAMN37671518	SAMN37671519	SAMN37671521	SAMN37671522	SAMN37671524	SAMN37671525	SAMN37671529	SAMN37671530	SAMN37671531	SAMN37671532	SAMN37671533	SAMN37671534	SAMN37671535	SAMN37671537	SAMN37671538	SAMN37671542	SAMN37671543	SAMN37671544	SAMN37671545	SAMN37671551	SAMN37671553	SAMN37671554	SAMN37671558	SAMN37671563	SAMN37671564	SAMN37671567	SAMN37671568	SAMN37671572	SAMN37671573	SAMN37671574	SAMN37671575	SAMN37671578	SAMN37671579	SAMN37671580	SAMN37671581	SAMN37671582	SAMN37671583	SAMN37671586	SAMN37671588	SAMN37671589	SAMN37671590	SAMN37671591	SAMN37671592	SAMN37671595	SAMN37671596	SAMN37671599	SAMN37671600	SAMN37671608	SAMN37671610	SAMN37671611	SAMN37671612	SAMN37671613	SAMN37671618	SAMN37671620	SAMN37671621	SAMN37671625	SAMN37671627	SAMN37671628	SAMN37671630	SAMN37671632	SAMN37671633	SAMN37671634	SAMN37671635	SAMN37671636	SAMN37671637	SAMN37671638	SAMN37671639	SAMN37671641	SAMN37671644	SAMN37671646	SAMN37671647	SAMN37671651	SAMN37671655	SAMN37671656	SAMN37671657	SAMN37671658	SAMN37671659	SAMN37671665	SAMN37671666	SAMN37671668	SAMN37671669	SAMN37671671	SAMN37671674	SAMN37671678	SAMN37671679	SAMN37671680	SAMN37671681	SAMN37671682	SAMN37671683	SAMN37671684	SAMN37671685	SAMN37671686	SAMN37671687	SAMN37671688	SAMN37671690	SAMN37671691	SAMN37671694	SAMN37671696	SAMN37671697	SAMN37671699	SAMN37671701	SAMN37671702	SAMN37671703	SAMN37671704	SAMN37671706	SAMN37671707	SAMN37671708	SAMN37671709	SAMN37671710	SAMN37671711	SAMN37671713	SAMN37671714	SAMN37671716	SAMN37671717	SAMN37671718	SAMN37671719	SAMN37671720	SAMN37671721	SAMN37671727	SAMN37671728	SAMN37671733	SAMN37671735	SAMN37671736	SAMN37671747	SAMN37671756	SAMN37671758
msp_0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00034889172223461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000339965297029288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000614384105882775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00431905992064493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
msp_0002	0	0	0	0	0	0	0.00298408574329067	0	0	0	0	0	0	0	0	0.00443981076208538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000241075760235853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
msp_0003	0.00412012378098813	0.012300548778721	0	0	0.006331064877734	0.0079729928646011	0.00313791087661989	0.00121525633333375	0	0	0.00217612524168295	0.0249098678706926	0	0	0	0.000496465719859176	0.00677567008889313	1.45947040637061e-05	0.0656067272432433	0.00435747516234681	0.00237736104777205	0	0	0	0.000554117279564455	0	0.0141235386338049	0.00872249312809672	0	0	0	0	0.0635556188195537	0	0.00057576843395192	0.0090870876354674	0.0404265065929325	0.00209396934793926	0.0136499745019688	0.0613148025851669	0	9.83100019444523e-05	0	0.000147680405985266	0.000487541768435321	0	7.61883812116397e-06	0.00146318559161846	0	0	0	0.00440366220724582	0	0	0.00339213777672527	0	0.010284798547695	0.00448717166092972	0.00491416755055931	0	0.00460187623997506	0.00131080104698105	7.87831420324001e-05	0.00299754294321945	0	0.00172273822264011	0.000222688544310474	0	0	0.00560880637060493	0.000310594869284201	0	0.00427108002371718	1.16033636498503e-05	0.00163934932337954	0.000464019880476887	0.014074268992547	0.00225569446587126	0.00138848408068742	0.00774502672859864	0.000363369456585951	0.00205854197056388	0	1.73773376327624e-05	0	0	0	0	0	1.45451921455273e-05	0	0.0245281650303333	0.0050128977461269	0.00334845422037351	0	0.0257399295862841	0	0	0	0	0	0.00554941988558762	0.00386648185764368	0.00221777653531836	0.00128456368711192	0.0168261911338582	0	0.00132268373867405	0	0	0	0.0296060828278106	0	0	0.0399551527270687	0.000558234279640345	0	0	0	0.00163583288309111	0.0113181240328947	0.068885812267177	0.0118695471958168	0	0	0.00194173059549434	0.00480898884647652	0.117660580977665	0.0110300741851144	0	0.00279438721097645	0	7.72125937727773e-05	0	0	0	0	0.0120567815472652	0	0.00439933897851996	0.0646760491009571	0.00136849566984105	1.58659857770986e-05	9.61263119752166e-05	0.00194334074413731	0.000226167417411342	0.00412103822299631	0.00872263863209924	0.126754506973829	0.00304487644911004	0	0.0202495094863487	0.000303262838229482	4.95598215544075e-05	0	4.27140635355065e-05	0.0091470220147097	6.68897631424996e-05	0	0.000947177327672436	7.02673175459773e-05	0	0	0.000595035331406603	0.00508989584382975	0.00018172502760366	0.00447268323035821	0.000249863922859688	8.83068070574994e-05	0.00260870774537507	0.037005196383257	0.101945346686296	0.0490953160463631	1.77160114039621e-05	0.0017585796412526	0.00847535526349079	0.01006993422046	0.00889952821119027	0.00773762804986035	4.1764772845977e-05	0	0	0	0.00496080469672279	0	2.59504927916567e-05	0.000153391119146512	0
msp_0004	0	0	0	0.00323711950917687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2821269149653e-05	0	0	0	0	0	0	0	0	0	0	0	0.00238990852011345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000658981586290895	0	0	0	0	0	0	0	0	0	0	0	0.000385303263835888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000754208820020557	0.000323010399764884	0	0	0	0	0	0	0	0	0	0	0	0	0
msp_0005	0.00291636115858761	0.00719394119136166	0.0105749096250579	0.000100256449967298	0.000176010573381765	0	0.000169799510427232	0.0160399786975002	0.437879098192046	0.0158826924432168	0.00051378689370746	0	0	0	0.000245357836431052	0.00156707691807664	0	3.28274847253547e-05	0.0204979998943153	0.0517691266581013	0.00574145373311095	0.0012858174968414	0	0.000715525605382217	0.00559739241982427	0	6.6072601169893e-05	2.23170787358593e-05	0	0.136728515531713	0.00252382787125131	0	0	0.0001346185953633	0.0059482103243037	0	0.0111442530504831	0.000100346225165565	0.000733481225037584	0.000933805273370726	0.00174542549141764	0.000576891723507457	0.000254436271050813	0.00902721373781796	0.000237910091625692	9.99374764686051e-05	0.000543475325188108	0.000892436203362905	0.0564601048127848	0.000551221717688138	0.000301784574641793	0.00671762230452214	0	0.00422776418860212	0.00814971281769072	0.000328595339648709	6.50880708353357e-05	0.00959561776791789	0.000835466770784246	0.187845105843169	0.00151084895621836	0.62787871739921	0.00110486618114106	8.71977688509913e-05	0.000111291408581615	0.0439547354194702	0.000560160272922932	0.000263875311498397	0	0.000374614155961346	0.00256434644283504	0.00466498115914557	0.00611915304668402	0.000804726707746122	0.000589323225122036	0.000672774264129529	0.00157633734726749	0.00127102803499158	0.0821944597852959	0.0202821591728433	0.000122313003768145	2.35868334004688e-05	0.000170479185386849	0.00155400691416556	0.00777435234329354	0.000457594926589925	0.175914103670012	0.0755335913769734	4.07034620113721e-05	9.94749178224121e-05	0.0367182299292106	0.000165320161612994	0.00297470342824449	0.00417759439578559	0.00757440945600358	0.000569082869523026	0.000253281985383861	0.00320118523303304	0.00717370450620155	0.00010750005645607	0.00757986977068495	0	0.000109993064769131	3.38436217254033e-05	0	0.000116677586684017	0.000406865073269201	0.00871417962973314	1.42058959513e-05	0.0117111645921847	0.000307544664669935	0.000109815891741024	0.0367192575750126	0.00385506759796898	0.00539709026584942	0.000298218675006679	0.0265859798309888	0.000744057820062224	0.0261604100975258	0.000231610415379376	0.00321811969552342	4.97375165294843e-05	0.00340313290306427	0.00157869741712804	0.153664454195727	0.000160525475373662	0.000197762019094699	0	0	0.00303484534519767	0.000424213783685262	0.00522229168771671	0.000474528766057605	0	0.00192961904020641	0.000371946765991688	0.181420571619804	0	0	0.000300787133578182	0.0187568945268487	0.000186020804178966	0	0.000197892022821426	5.89550498778051e-05	0.0177760483607159	0.0466249921617318	2.53061406032672e-05	0.00287752339406622	0.000800848149567046	0.000112915260007561	0.018307305742486	0.00111459932673227	0.0138465656768318	0.00119792614450692	0.00934696948016597	0.000511370824305609	0.000962383125803032	0.0117812962686826	0.00653454938340265	0.00820466541510927	0.00418002301101783	0.000663591695475599	0.000617138283033848	0.00462226553638473	0.0136890302967018	0.00540073160300581	2.53558120166616e-05	0.00122205277533809	0.000279555090033046	0.00352307524479181	3.19341679005546e-05	3.7702771426989e-05	0	0.00611754165901365	0	0.0121340680497389	0	0	0.0268298099172177	0.00102626043177265	0	0.00382898897996238	0.173355583784171	0.000151549323998306	0.00210990897543123	0.00150664036840566	0.00101806640034737
msp_0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.31013320365336e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000915981098305875	0	0	0	0.00139916391530006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113936331878113	0.00417716693794574	0	0.00450228983132681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00713975408403182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.12179418268671e-05	0	0	0	0	0	0	0	0	0.00691735421847801	0.000137881640648999	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00402793868529583	9.78619371033342e-05	0	0.0161981694381055
msp_0007	0	0.0471590148307703	0	0	0.00474659821404304	0.0121961376540625	0	0.00553025354918748	0	0	0.0113866342588001	0.000824889661216516	0	0.0136204624896503	0	0.00224988476104106	0.000620213150252336	0.00086541922666688	0.0193937952417161	3.17407213910794e-05	0.00125345513808904	0.0332168290288766	0.0175862446427353	0.00594142480170047	0.000150115469063416	0.00206557584303804	0.0117501697351676	0	0.00108943042845816	0.0015596111223767	0.00560544252615274	0.0291365243010805	0	0.00185854671265252	0.00486269863207133	0	0.020032616734923	0.000827024920877833	0.0104120558039685	0.00160381082403956	0	0	0	0	0.0011264982862411	0.0111314300092352	7.24521263978892e-05	0.00685606541065771	0.0147136477721782	0.00503275221975532	0.00636582178375187	0.000119066496602404	0.0157314037475129	0.00385039518543575	0	0.0168807726906696	0.00190798714664874	0.000594194166098521	0.000541067386033525	0.00882770548765241	0.000237640920410202	0.0171096000453402	0.00171802216900999	0.00547359030597891	0.00112782262740955	0.000686775696365868	0.000671512514761058	0	0.00728740347164671	0.000258891942634495	0.000462062699248846	0.0151461072645059	0	0.00605386704054251	0.00170806277035396	0.0113612985326157	6.43980635453278e-05	0.000478904097765633	0.000283365452423135	0.00189369249983185	3.83028449104275e-05	0.00164169939599141	0	0.0247150022333315	0.0880056554848876	0	0.00121287904921229	0	0.000536702166251799	0.00644914570758264	0.00281509531705792	0.00641590164375617	0.000496125062438111	0.0265633238232538	0.00539903351432178	0.0680664294521639	0.0077564741666554	0.000779228473326255	0.000113187963660599	0.00198848910078349	0.00354976026657854	0.000253968321554318	0.000574342055982431	0.000826290919257474	0.00943267615033438	6.1235189032446e-05	0.0713204765027409	0.000146303867521179	0.00105594252305911	0.0380554867057113	0	0.00372090869162067	0	0.0140932249539876	0.00163739428273017	0.000143759261167203	0.00347576485832765	0.000175273351964826	0	4.19067160171211e-05	0.00437770188014414	3.04302027354408e-05	0.00115853498259816	0.0855192147118355	0	0.000239573310948033	0	0.0240698823337998	0.00553455521119657	0.0129480703153466	0.000287837657735874	0	0.00325355921856689	0	0.0317064599262715	0	0	0	0.000509966726853392	0.00206920695251181	0	0	0.00131218757907773	0.00102383542317234	0.00481417310891863	0.0246230814232287	0.00518141731449821	0.00731465384199873	0.00149337582199698	0.000673752129887581	0.0276064588436823	0.0200804880078307	0.000479324579071279	3.34642969293886e-05	0.0046030192037104	0.000228761806065092	0.0432023973772148	0.0935865483117015	0.000389590553896473	0.000482578107555306	0.000426888769410867	0	0.0558890376352841	0.000303776481007481	0.0229906346280899	0.00146188390074725	0.00148062084454636	0.06749839982577	0.000685599045586081	0.0010559224264313	0.000695014726623174	0.000100388690285155	0.000282948502806016	0.0356405995781149	0	0.000318053281858154	0.00119045102633902	0.00145332204450305	0	9.95189604438879e-05	0.0169074747069387	0.00590480522615822	0.00276113675588803	0.00021144561363553	0	0.000763869100079322	0.000388606149296512	0.00124397251384018
msp_0008	0	0	0	0	0	0	0.0145057232328605	0	0	0	0.0124710366596438	0	0	0.0358260977820874	0.000298849318464145	0	0.00113741919034885	0	0	0	0	0	0	0	0	0.00159030464705066	0	0	0	0	0.000848170466215719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0325564844353204	0.00608569827779935	0.00337270647105183	0	0	0	0.0249600324925856	0.00014132577077545	0	0	0	0	0	0	0	0	0	0	0.00228472371471595	0	0	0	0.0597161288300717	0	0	0.00021766437629142	0	0	0.000856869936628107	0	0	0	0	0	0	0	0	0	0	0.0123850215234557	0	0.000231664877891034	0	0	0	0	0	0	0.000116434177444853	0.00216653238643506	0	0	0	0	0	0	0.00150672240595294	0	0	0	0.0123287472681133	0	0	0	0.00088696801701085	0	0	0.0453584905057701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100612208254923	0	0	0	0.00611897097798196	0	0	0	0	0	0	0	0.000774803590839452	0	0	0	0	2.11823872988115e-05	0	0	1.68248485642139e-05	0	0	0	0.00205171888754162	2.99697269142851e-05	0	0	0	0	0.000293323080341401	0	0	0	0	0	0	0.00184503190554617	0	0	0.00445706616953295	1.63439490584417e-05	0	0	0.054682002561116	0	0	0	0	0	0.000263827566479235	0.0194943180485305	0.000671930139074271
msp_0009	0.00147400763140593	0.0267699572378575	0.00675677503899938	5.01255640164122e-05	2.76740285008977e-05	8.59860167081974e-05	4.58536562523204e-05	0.00174905418129038	0	0	5.35511752533519e-05	0.000846460573291205	6.81550219168643e-05	9.32090265570759e-05	2.42316775577192e-05	0.000107103361072591	0.00476506416739149	2.20680132222438e-05	0.00194258317233489	0.00173797046931453	5.98754805698394e-05	0.0240844235957893	0.00137590862446076	0.000356501156216058	0	2.580904867436e-05	7.69422076207827e-05	0.00251270168165404	0.000129975865454507	0.000117679002926745	0.00359980324644005	0.000201142790176008	0.00569352650840253	1.93788070208141e-05	6.99770514124203e-05	0.00548144461317515	0.0014116407344961	3.50153759606724e-05	5.9403571730032e-05	0.00185571871471859	0.0234980298524595	8.94971087294672e-05	0.00455872038676802	0.000376196926521685	2.25383621224265e-05	0.00629982555873991	0	0.00203629977108998	0.000129173228399521	0.0137033500876498	0.00060694948894864	0.000833485167682199	0.00405609898204337	0.0181450179590721	0.00419047146959207	0.000179790067961598	0	8.10258937428981e-05	0.000259666478831793	0.000257245709895217	0.00262344303923331	0	0.000766637421745523	5.08547009041324e-05	0.00352010908084173	8.18805961754817e-05	0	5.18446007423675e-05	0.0161908851637247	3.40179322893999e-05	0.00120621773864292	0.00149898316606345	0.00294066064741257	5.01834002408616e-05	0.000346033458833051	0.000161627724808387	0.00109823409073325	0.00222654125475236	0.00957741023467653	0.00260802153750407	9.69983706898081e-05	0.000281581631077556	0.000130391173804839	0.000608768801981831	0.009968718813682	0.00136617218910031	0.00125322222634051	6.52139301597932e-05	0.00223337226075859	0.000202645209181325	0.00115178719364013	0.000133508927878187	0.00011908603518593	0	0.00127868312043419	0.00266780397515989	0.000113526328726302	1.61867575908652e-05	0	1.8367995766049e-05	0.00428496571837829	0	0	0	0.00363529306261472	2.38279531910297e-05	5.10464594437399e-05	4.25675068564466e-05	0.000198535089926696	6.11627038865677e-05	0	0.00388041969779386	0.000730109741509545	0.00091781442475906	0.00230975791906594	0.000212840094841918	0	0	0.00147412380871684	0.000514334220215641	9.79212759891927e-05	0.00284965687748991	0.000710884717800756	0.00213790767515876	0.0365216881738657	3.40625149761279e-05	0.00176513104237575	0.0021159763344189	9.38229158769174e-05	0.00155097650201968	8.4196926377838e-05	0.0080130530539681	5.06934010961767e-05	0.00647343937002846	0.00292532478764793	0.0187786653107596	0.000476196625057791	0.00126878468975949	4.23351091825834e-05	0.000103325788061222	0.000218961971214042	0.000204454982498813	7.63991597032062e-05	0	0.000232158834692573	0.000599203812690281	1.73770957334816e-05	3.3404134226727e-05	0.00114506364689086	6.74107277764147e-05	0.000142044850279368	0.00678204815230569	0.000100759013715117	4.69311320723994e-05	1.82615295344446e-05	0	0.00373429034432472	0.00101596024971412	2.55591161254774e-05	1.8104988537121e-05	0	0.000374732666616583	0.00261950452349863	2.26738654259196e-05	0.00335889323565212	0.000592330290176467	0.0255684303975415	1.71290190783297e-05	7.49392652411151e-05	0	0.000492770391454562	0.000250018697514779	0.000179949691529337	0	0	9.38167007656877e-05	0.000405999861239686	3.67803056110584e-05	5.34163447009988e-05	0.00332109276216276	0.000847537610970365	0.00020037964475936	0.000211184635398234	2.90140500448779e-05	0	0	0.000111174092546635	0
msp_0010	0	0	0	0.000744600619226164	0	0.0158616606887563	0	0	0	0	0.000104130448700665	0	0	0.0189121406738886	0	0	0	0	2.55824366363459e-05	0.00102236175175117	0.000231546784955172	0.00746100780114721	0.00651593488713123	0.00172795820947166	2.55368101830832e-05	0.000960821254814333	0	0	0	0.00144134720270781	0.0129997587413103	0	0	0.00156318897579105	0.000273668703199278	0	0.0152981783980703	0.00483006308328642	0.0151645055866767	0.0353119039377774	0.0408380084379302	0.00486941972497189	0.00226900936604273	2.71242392740316e-05	4.91680394987252e-05	0.0246435205270879	3.16571041664654e-05	0.00089458191106553	0.000161079898817777	0.0070880372228258	0.000118049420592772	0.000924219972159347	0.00270361368614934	0.0184973833818534	0.0157548637852614	0	0.00266246598793068	0	0.000544524064427945	0.00907619001917286	0.0128333525968521	0	0.000114560833120484	3.51089886885318e-05	0	0.00448287335830826	2.79974346682111e-05	0.000846408858560484	0	0	0.00275334531855264	0.0719469800448575	0.019516620090546	0	0	0.001627558929151	0.0244487126930604	0.00188134003680888	0.00963263654337731	0	0.000489732821037307	0.0024919278720535	0.000372081959144697	0.028931754983156	1.7144146695445e-05	0	0	0	0	0.00235411704326815	0.00922152231853417	0.000392475736044108	0.00306334467836878	0.00257785651494311	0	0.00850035090783968	0	0.000650315256138287	0	0.000928629915630336	0.0072383073982863	0.00198140041126749	0	0	0.0553323839243346	0	0	0.00303622001424707	0	0.0111569447919492	1.38683036510928e-05	0.0103975619805212	0.00510258870853919	0	0.00229203366490239	0.000595984000669758	0.0528655517256262	0	0.247506598183914	3.81909829505313e-05	0.0129537631949668	0.0102538611533071	0.00147478551630378	0.00227665383296577	0.0430429509747373	3.53595691246017e-05	0.0135933740279024	0.0155055251501397	0.00120206026372505	0.0296644910377932	0	0.0272619432501488	0	0	0	0	0.00804616018586768	0	0.00156552008868582	0.00728715851403957	0	0.00431975378964464	0	0	0	0	0	0	2.60745118319645e-05	1.36704413553911e-05	0.0037857299049913	0	0	0	0	0.00202834513716142	0.00383929261562718	0.010030856829739	0	0.000208798353927345	0.000138905574777758	0.0319982658634489	0.0117422628678979	0.000268929811924139	0.000195015138846198	0.00197981892203704	0.0179702661660539	0	0	0.000715809123706291	0.000905809024140036	0.0803700512701267	0.000148724597814006	0.0275902685631604	0	0	0	0	0.000423282813126402	2.74878114948901e-05	0	0.00477343249756765	0	0.00119420014513711	0	0.00653022383537929	0	0
